,open,high,low,close,adjclose,volume,ticker
2011-01-01,9.26496410369873,9.492897987365723,7.756331920623779,7.93671178817749,6.187789440155029,149128856,LREN3.SA
2011-02-01,8.03346061706543,8.736943244934082,7.756331920623779,8.36306381225586,6.520191192626953,120569757,LREN3.SA
2011-03-01,8.364704132080078,9.05998706817627,8.14004898071289,8.672989845275879,6.76182222366333,106565665,LREN3.SA
2011-04-01,8.672989845275879,9.66015911102295,8.625434875488281,9.519135475158691,7.440603256225586,87893355,LREN3.SA
2011-05-01,9.51257610321045,9.819222450256348,8.896004676818848,9.814302444458008,7.843418598175049,108838470,LREN3.SA
2011-06-01,9.715912818908691,10.24393367767334,9.100981712341309,9.756909370422363,7.797546863555908,109873248,LREN3.SA
2011-07-01,9.776585578918457,10.114389419555664,8.650032043457031,8.989474296569824,7.20147705078125,99709191,LREN3.SA
2011-08-01,9.202651023864746,9.888093948364258,7.192234992980957,9.814302444458008,7.8622517585754395,189240653,LREN3.SA
2011-09-01,10.15046501159668,10.822789192199707,7.8088059425354,8.305670738220215,6.653684139251709,171428298,LREN3.SA
2011-10-01,8.19908332824707,9.369912147521973,7.83832311630249,8.536885261535645,6.857863426208496,126794044,LREN3.SA
2011-11-01,8.19908332824707,8.96159839630127,7.985907077789307,8.887805938720703,7.139767169952393,108943876,LREN3.SA
2011-12-01,8.923881530761719,9.074745178222656,7.280785083770752,7.938352108001709,6.377050399780273,100103863,LREN3.SA
2012-01-01,7.938352108001709,9.966805458068848,7.938352108001709,9.674918174743652,7.794593334197998,112661365,LREN3.SA
2012-02-01,9.756909370422363,10.81295108795166,9.51093578338623,10.721120834350586,8.637468338012695,98330495,LREN3.SA
2012-03-01,10.737519264221191,11.055643081665039,10.042237281799316,10.281649589538574,8.283403396606445,111417936,LREN3.SA
2012-04-01,10.365281105041504,10.575177192687988,9.373191833496094,10.04715633392334,8.112963676452637,136180457,LREN3.SA
2012-05-01,10.04715633392334,10.565338134765625,9.068185806274414,9.53553295135498,7.869822025299072,125685383,LREN3.SA
2012-06-01,9.48141860961914,9.976643562316895,8.759900093078613,9.240365982055664,7.626218318939209,94921577,LREN3.SA
2012-07-01,9.192811965942383,10.222617149353027,8.609037399291992,10.04715633392334,8.313082695007324,106255773,LREN3.SA
2012-08-01,10.05207633972168,11.255701065063477,9.63392162322998,10.973652839660645,9.079673767089844,126323869,LREN3.SA
2012-09-01,11.02940559387207,12.237951278686523,10.742438316345215,11.134354591369629,9.212639808654785,109664079,LREN3.SA
2012-10-01,11.065482139587402,12.815167427062988,11.0638427734375,12.3314208984375,10.224214553833008,141194432,LREN3.SA
2012-11-01,12.316661834716797,13.061139106750488,12.077248573303223,12.815167427062988,10.625298500061035,75518190,LREN3.SA
2012-12-01,12.926673889160156,13.334988594055176,12.647905349731445,13.077536582946777,10.842833518981934,68929038,LREN3.SA
2013-01-01,13.077536582946777,13.32351016998291,12.560995101928711,13.070978164672852,10.857710838317871,80185784,LREN3.SA
2013-02-01,13.133291244506836,13.14640998840332,11.937865257263184,12.357658386230469,10.265175819396973,90756478,LREN3.SA
2013-03-01,12.242871284484863,12.544596672058105,11.557427406311035,12.436368942260742,10.330559730529785,106390541,LREN3.SA
2013-04-01,12.218273162841797,12.575753211975098,11.531189918518066,12.560995101928711,10.448776245117188,134458924,LREN3.SA
2013-05-01,12.560995101928711,13.438297271728516,12.085448265075684,12.216633796691895,10.358819961547852,98636625,LREN3.SA
2013-06-01,12.239590644836426,12.397012710571289,10.343962669372559,10.47842788696289,8.884947776794434,140689499,LREN3.SA
